RD23010,RD23010 Principles Of Veterinary Science*,11,DD,Padarn 1.05,Wednesday,7/1/2015,14:00,2 Hours,"Biological, Environmental and Rural Sciences"
BR33510,BR33510 Interpretation And Environmental Education,49,DD,Padarn 1.05,Thursday,8/1/2015,9:30,2 Hours,"Biological, Environmental and Rural Sciences"
BR33620,BR33620 Microbes In Industry And Research,55,A,Arts Centre - Great Hall,Thursday,8/1/2015,9:30,3 Hours,"Biological, Environmental and Rural Sciences"
EN33020(a),"EN33020 Shakespeare, Jonson And Company",20,,Departmental Room,Thursday,8/1/2015,9:30,4 Hours,English & Creative Writing
GC10810,GC10810 Diwylliant Celtaidd I*,11,D,Padarn 1.00,Thursday,8/1/2015,9:30,2 Hours,Welsh
GG21110,GG21110 Reading The Ice Age Record,56,C,Sports Cage,Thursday,8/1/2015,9:30,2 Hours,Geography & Earth Sciences
IR10810,IR10810 Celtic Culture 1*,9,D,Padarn 1.00,Thursday,8/1/2015,9:30,2 Hours,Welsh
MA26510,MA26510 Statistical Methods,71,PC,Llandinam B23,Thursday,8/1/2015,9:30,3 Hours,Mathematics
MM10120,MM10120 Marketing Principles,211,C,Sports Cage,Thursday,8/1/2015,9:30,2 Hours,Management & Business
MM30520,MM30520 Marketing Communications,38,B,Penbryn - MedRus Main,Thursday,8/1/2015,9:30,2 Hours,Management & Business
MX36510,MX36510 Statistical Methods*,2,PC,Llandinam B23,Thursday,8/1/2015,9:30,3 Hours,Mathematics
PH06020,PH06020 Introduction To Mathematical Methods For Physicists I,40,A,Arts Centre - Great Hall,Thursday,8/1/2015,9:30,3 Hours,Physics
PS20420,PS20420 Cognitive Psychology*,57,D,Padarn 1.00,Thursday,8/1/2015,9:30,2 Hours,Psychology
PS34220,PS34220 Cognitive Psychology For Joint Honours*,16,D,Padarn 1.00,Thursday,8/1/2015,9:30,2 Hours,Psychology
SS22120,SS22120 Sport & Exercise Physiology,61,B,Penbryn - MedRus Main,Thursday,8/1/2015,9:30,2 Hours,Sport and Exercise Science
BR12320,BR12320 People And The Countryside,13,D,Padarn 1.00,Thursday,8/1/2015,14:00,1.5 Hours,"Biological, Environmental and Rural Sciences"
BR24410,BR24410 Understanding Biological Research,35,BB,Penbryn - MedRus 1 Wasdell,Thursday,8/1/2015,14:00,1.5 Hours,"Biological, Environmental and Rural Sciences"
CS25010,CS25010 Web Programming,113,C,Sports Cage,Thursday,8/1/2015,14:00,2 Hours,Computer Science
CS36110,CS36110 Machine Learning,32,C,Sports Cage,Thursday,8/1/2015,14:00,2 Hours,Computer Science
FR33320,FR33320 L'Art Du Rêcit (19e - 20e Siècles),7,C,Sports Cage,Thursday,8/1/2015,14:00,2 Hours,European Languages
GE10910,GE10910 Ways Of Reading German Literature,10,C,Sports Cage,Thursday,8/1/2015,14:00,2 Hours,European Languages
GE37020,GE37020 Autobiography And Life Writing In German,16,C,Sports Cage,Thursday,8/1/2015,14:00,2 Hours,European Languages
GW12320,GW12320 Gwleidyddiaeth Y Byd Yng Nghyfnod Y Ddau Ryfel Byd*,6,B,Penbryn - MedRus Main,Thursday,8/1/2015,14:00,2 Hours,International Politics
GW33820,GW33820 Gwleidyddiaeth Ewropeaidd*,6,C,Sports Cage,Thursday,8/1/2015,14:00,2 Hours,International Politics
